0,normal
0,normal
9,normal
0,normal
12,normal
14,normal
0,normal
0,normal
0,normal
19,normal
0,normal
0,normal
0,normal
0,normal
16,normal
0,normal
22,normal
3,normal
0,normal
15,normal
24,normal
0,normal
32,normal
0,normal
0,normal
25,normal
0,normal
22,normal
2,normal
0,normal
67,normal
0,normal
78,normal
25,normal
73,normal
28,normal
52,normal
0,normal
85,normal
0,normal
0,normal
15,normal
11,normal
0,normal
0,normal
0,normal
0,normal
24,normal
0,normal
2,normal
14,normal
0,normal
32,normal
0,normal
11,normal
12,normal
49,normal
19,normal
23,normal
23,normal
2,normal
26,normal
29,normal
47,normal
15,normal
17,normal
0,normal
4,normal
22,normal
8,normal
21,normal
34,normal
40,normal
21,normal
43,normal
33,normal
5,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
11,normal
39,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
0,normal
25,normal
16,normal
0,normal
0,normal
0,normal
20,normal
11,normal
19,normal
0,normal
1,normal
16,normal
9,normal
25,normal
20,normal
4,normal
0,normal
27,normal
31,normal
11,normal
19,normal
51,normal
12,normal
29,normal
31,normal
50,normal
0,normal
2,normal
9,normal
2,normal
0,normal
0,normal
35,normal
0,normal
0,normal
0,normal
0,normal
14,normal
14,normal
12,normal
20,normal
2,normal
32,normal
0,normal
0,normal
18,normal
42,normal
49,normal
66,normal
30,normal
18,normal
17,normal
0,normal
56,normal
48,normal
21,normal
31,normal
36,normal
30,normal
50,normal
0,normal
0,normal
35,normal
0,normal
25,normal
0,normal
5,normal
14,normal
20,normal
0,normal
0,normal
33,normal
0,normal
34,normal
19,normal
35,normal
0,normal
0,normal
0,normal
27,normal
3,normal
0,normal
14,normal
2,normal
20,normal
35,normal
0,normal
0,normal
0,normal
0,normal
14,normal
0,normal
30,normal
4,normal
0,normal
0,normal
0,normal
0,normal
0,normal
2,normal
16,normal
1,normal
16,normal
37,normal
0,normal
18,normal
18,normal
0,normal
0,normal
0,normal
25,normal
0,normal
22,normal
0,normal
24,normal
34,normal
7,normal
36,normal
19,normal
17,normal
0,normal
0,flocking
0,flocking
38,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
1,flocking
25,flocking
0,flocking
19,flocking
0,flocking
0,flocking
11,flocking
16,flocking
12,flocking
21,flocking
16,flocking
22,flocking
2,flocking
32,flocking
32,flocking
35,flocking
2,flocking
24,flocking
5,flocking
50,flocking
14,flocking
21,flocking
11,flocking
42,flocking
22,flocking
15,flocking
0,flocking
31,flocking
10,flocking
32,flocking
23,flocking
24,flocking
0,flocking
0,flocking
50,flocking
45,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
3,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
27,flocking
0,flocking
59,flocking
61,flocking
44,flocking
26,flocking
27,flocking
41,flocking
16,flocking
35,flocking
14,flocking
39,flocking
1,flocking
0,flocking
32,flocking
18,flocking
18,flocking
12,flocking
0,flocking
0,flocking
12,flocking
16,flocking
20,flocking
22,flocking
2,flocking
6,flocking
16,flocking
2,flocking
17,flocking
21,flocking
0,flocking
2,flocking
0,flocking
0,flocking
32,flocking
49,flocking
15,flocking
0,flocking
22,flocking
0,flocking
14,flocking
0,flocking
20,flocking
19,flocking
0,flocking
0,flocking
0,flocking
22,flocking
23,flocking
0,flocking
0,flocking
13,flocking
22,flocking
0,flocking
11,flocking
35,flocking
24,flocking
31,flocking
0,flocking
0,flocking
18,flocking
0,flocking
0,flocking
0,flocking
0,flocking
31,flocking
12,flocking
31,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
0,flocking
